Sample_ID,Mouse_ID,Timepoint,Genotype,Grouped.genotype,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54
HACKGx307W11,HACKGx307,W11,HACKG,HACK/G,25084,4142,6261,191,29,0,259,108,6271,196,3002,335,887,363,25,8,160,2797,1923,13151,9,86,0,81,1565,5556,627,44,154,0,1849,1846,2015,26,0,21,0,6,9,0,14130,0,0,1283,27,0,24,0,24,1932,260,38,94,1178
HACKGx320W11,HACKGx320,W11,HACK,HACK/G,6165,1296,3721,67,20,25,533,383,4539,72,1486,187,1878,92,12,16,51,1652,3634,11641,5,12,7,47,256,1684,221,53,228,0,1621,670,523,61,20,13,0,14,0,363,4037,185,0,1441,5,6,20,9,808,773,540,2186,6,1065
HACKGx321W11,HACKGx321,W11,HACK,HACK/G,27540,2162,8620,307,0,28,534,154,6077,144,2839,197,1338,98,49,7,66,3120,4715,21670,0,13,4,80,1443,4093,586,113,268,5,3586,886,2323,63,23,16,0,23,0,913,1195,470,0,1668,39,14,27,0,18,1251,900,269,26,782
HACKGx328W11,HACKGx328,W11,WT,WT,1380,1709,6774,943,15,29,207,89,8266,44,1630,184,1710,35,22,28,20,3136,3050,8818,7,48,40,58,1591,4567,3080,96,157,0,2502,582,541,6,27,0,0,40,14,1025,5118,64,0,1266,46,25,63,0,35,2410,299,3314,66,154
HACKGx331W11,HACKGx331,W11,HACKG,HACK/G,1561,7111,1135,32,5,12,47,457,5493,143,349,45,2753,12,13,45,32,278,1321,17879,3,6,40,62,2358,1893,207,2,71,0,1973,2685,794,4,11,0,0,164,0,209,2876,108,0,650,0,0,22,0,128,878,27,34432,150,819
HACKGx342W11,HACKGx342,W11,HACKG,HACK/G,2095,5267,1513,40,15,11,36,53,7100,80,1591,75,3328,40,24,35,28,829,1453,1101,0,21,0,65,6819,3234,79,0,90,0,2009,2128,3225,7,60,0,0,7,11,454,2442,0,0,975,6,22,46,14,5,1330,232,26665,127,185
HACKGx344W11,HACKGx344,W11,WT,WT,1693,1963,13706,1239,0,135,322,14,10215,83,1448,302,4735,125,30,10,110,6655,4414,5644,0,37,0,91,3831,3171,249,20,139,22,1969,423,3510,24,0,0,0,39,5,521,1634,0,0,2179,159,24,123,38,184,545,594,1465,33,436
HACKGx353W11,HACKGx353,W11,HACKG,HACK/G,5055,4396,1784,62,0,0,245,391,5846,27,886,114,480,65,18,34,25,504,3569,9336,0,23,0,80,1052,1439,192,90,645,0,1174,2906,278,9,0,28,0,193,10,475,3935,0,0,759,37,0,0,0,536,2010,583,24242,387,346
HACKGx356W11,HACKGx356,W11,HACKG,HACK/G,10339,958,709,10,11,16,25,246,4160,70,819,50,523,9,4,7,0,414,749,6559,3,19,31,19,1089,1826,89,9,343,0,598,2245,976,6,0,16,0,0,0,226,12756,0,0,426,8,0,20,0,450,1582,116,20312,52,148
HACKGx358W11,HACKGx358,W11,HACKG,HACK/G,6122,5111,834,63,21,26,211,7,4668,103,568,46,713,18,10,24,23,1469,1650,3263,0,15,107,55,1121,1639,275,67,237,0,689,768,795,15,12,0,0,0,3,384,2376,0,0,627,7,0,18,15,187,1165,154,27796,55,826
